site,type,bipolar,max_length,max_width,max_thickness,mass
klipfonteinrand,flake,freehand,19.1,14,4.2,0.7
klipfonteinrand,flake,freehand,10.7,8.9,3,0.1
klipfonteinrand,flake,freehand,10.5,5.8,2.1,0.01
klipfonteinrand,flake,freehand,12.3,8.4,1.2,0.01
klipfonteinrand,flake,freehand,12.7,7.7,2.4,0.1
klipfonteinrand,flake,freehand,11.8,10.3,3.5,0.1
klipfonteinrand,flake,freehand,17.5,11.7,4.7,0.7
klipfonteinrand,flake,freehand,7.8,6.4,1.8,0.01
klipfonteinrand,flake,freehand,8.8,7.2,1.4,0.01
klipfonteinrand,flake,freehand,9.9,7.5,1.8,0.01
klipfonteinrand,flake,freehand,7.5,6.7,2.4,0.01
klipfonteinrand,flake,freehand,17.6,12.2,5.2,0.8
klipfonteinrand,flake,freehand,15.5,9.1,1.7,0.05
klipfonteinrand,flake,freehand,10.7,6.3,2.1,0.05
klipfonteinrand,flake,freehand,11,4.6,2.1,0.05
klipfonteinrand,flake,bipolar,16,5.9,3.2,0.1
klipfonteinrand,flake,bipolar,8.8,6,1.8,0.01
klipfonteinrand,flake,freehand,8.8,5.5,1.7,0.01
klipfonteinrand,flake,freehand,7.9,6.8,2.9,0.01
klipfonteinrand,flake,freehand,8.1,6,2.3,0.01
klipfonteinrand,flake,freehand,9,6.7,2.1,0.01
klipfonteinrand,flake,freehand,7.6,4.3,1.7,0.01
klipfonteinrand,flake,freehand,11.7,8.1,2.1,0.1
